iter	Passed	Remaining
0	1	123
1	2	124
2	3	119
3	4	115
4	6	118
5	7	117
6	9	119
7	10	118
8	11	116
9	12	116
10	14	115
11	15	113
12	16	113
13	18	111
14	19	109
15	20	107
16	21	105
17	22	103
18	24	102
19	25	100
20	26	99
21	28	101
22	30	100
23	32	101
24	33	100
25	34	98
26	36	98
27	38	98
28	40	99
29	42	100
30	44	99
31	46	98
32	47	97
33	50	97
34	51	95
35	52	93
36	53	91
37	55	89
38	56	87
39	57	85
40	58	84
41	59	82
42	60	80
43	61	78
44	63	77
45	64	75
46	65	74
47	66	72
48	67	70
49	68	68
50	69	66
51	70	65
52	71	63
53	72	61
54	73	59
55	74	58
56	75	56
57	76	55
58	77	53
59	78	52
60	79	51
61	81	49
62	82	48
63	83	47
64	84	45
65	86	44
66	87	43
67	89	41
68	90	40
69	91	39
70	93	38
71	94	36
72	95	35
73	96	34
74	98	32
75	99	31
76	101	30
77	102	28
78	103	27
79	105	26
80	107	25
81	108	23
82	109	22
83	110	21
84	111	19
85	112	18
86	113	16
87	114	15
88	115	14
89	117	13
90	118	11
91	119	10
92	121	9
93	123	7
94	124	6
95	126	5
96	127	3
97	129	2
98	130	1
99	131	0
